section,metric,value
labels,images_with_objects,2527
labels,total_boxes,2759
labels,classes,[0.0]
boxes,width_mean,0.418614740802079
boxes,width_min,0.03333333333333333
boxes,width_max,0.9983333333333333
boxes,height_mean,0.4168779236953242
boxes,height_min,0.0
boxes,height_max,1.0
boxes,area_mean,0.20761240295345385
boxes,area_min,0.0
boxes,area_max,0.9953667546174142
boxes,proportion_mean,1.1248365623717071
boxes,proportion_min,0.0
boxes,proportion_max,4.117956423741548
box_sizes,small,180
box_sizes,medium,1335
box_sizes,large,1244
